,hostname,st_teff,st_mass,st_rad,st_met,st_lum,st_age,st_vsin
3135,Kepler-901,4077.1,0.5853333333333333,0.5734758999999999,-0.3,-0.98404,3.8,5.598415605095542
3136,Kepler-902,5727.4,0.979,1.0597100000000002,-0.2,0.10835,4.37,5.598415605095542
3137,Kepler-903,5631.181818181818,0.9559,1.2346563636363637,-0.14,0.36464,0.4,5.598415605095542
3138,Kepler-904,6154.555555555556,1.087875,1.0561666666666667,-0.2,0.15444,3.02,5.598415605095542
3139,Kepler-905,5465.037272727273,0.9696,0.889678,0.178,-0.21507,1.95,5.598415605095542
3140,Kepler-906,6036.637272727272,1.0254999999999999,1.0237416363636365,-0.3,0.09641,1.86,5.598415605095542
3141,Kepler-907,6058.91,1.015,1.285,-0.3773,-0.13412174868390936,5.37,5.598415605095542
3142,Kepler-909,6039.219090909091,1.1384,1.1731,0.21,0.273,1.22,5.598415605095542
3143,Kepler-91,4633.14625,1.327777777777778,6.4663325,0.4316,1.225,4.86,6.8
3144,Kepler-910,6182.748,1.2425555555555556,1.499616,0.0725,0.49442,2.65,5.598415605095542
3145,Kepler-911,6078.084545454546,1.2272,1.9529372727272725,-0.0257,0.70686,4.94,5.598415605095542
3146,Kepler-912,5692.888888888889,0.9215,1.2086911111111112,-0.44,0.55177,3.16,5.598415605095542
3147,Kepler-913,5482.515873015873,0.9646666666666667,0.9813313492063491,-0.020000000000000004,-0.28163,5.123463839681134,5.598415605095542
3148,Kepler-914,5833.647999999999,1.0985555555555555,1.210088,0.22,0.24467,3.98,5.598415605095542
3149,Kepler-915,6259.873333333333,1.1096249999999999,1.338017777777778,-0.46,0.50553,5.01,5.598415605095542
3150,Kepler-916,5282.0,0.8921111111111111,0.8563457,0.14,-0.27846,0.6,5.598415605095542
3151,Kepler-917,5263.125,0.8694999999999999,1.1464175,-0.02,0.76372,4.17,5.598415605095542
3152,Kepler-918,5942.875,1.0525714285714287,0.9857262499999999,-0.1,-0.01801,0.5,5.598415605095542
3153,Kepler-919,6000.3,1.0455555555555556,1.105435,-0.12,0.16662,3.0,5.598415605095542
3154,Kepler-92,5891.446666666667,1.1659636752136753,1.7323955555555557,0.16269999999999998,0.55818,5.43,5.598415605095542
3155,Kepler-920,5437.611111111111,0.9434513888888889,0.9217126499999999,0.14,-0.18293,4.37,5.598415605095542
3156,Kepler-921,5889.982222222222,0.998875,0.9557711111111112,-0.18,-0.0296,0.3,5.598415605095542
3157,Kepler-922,5696.676,0.9562222222222222,0.9631916,-0.1,-0.13328,7.94,5.598415605095542
3158,Kepler-923,6055.666666666667,1.14075,1.21017,0.07,0.3325,4.68,5.598415605095542
3159,Kepler-924,6228.0,1.1347,1.2266563636363637,-0.32,0.31382,3.09,5.598415605095542
3160,Kepler-925,4531.82,0.6898888888888889,0.7108777,-0.06,-0.68406,13.9,5.598415605095542
3161,Kepler-926,5689.111111111111,0.95675,1.0261755555555556,-0.3,0.17281,0.4,5.598415605095542
3162,Kepler-927,5813.4,1.0074444444444444,0.9972263,0.03,-0.08583,4.37,5.598415605095542
3163,Kepler-928,4753.6,0.7375555555555555,0.7194045,0.1,-0.71877,4.37,5.598415605095542
3164,Kepler-929,5835.2,0.9659999999999999,1.25485,-0.64,0.46075,3.47,5.598415605095542
3165,Kepler-93,5655.764705882353,0.9478125000000001,0.9218698382352941,-0.16499999999999998,-0.10565,5.824999999999999,0.5
3166,Kepler-930,6035.818181818182,1.0997,1.4584990909090907,0.099,0.37758,5.4,5.598415605095542
